fid,id_Parrot,Nom.échan,PK,Bief,Masse.tota,D16mm,D50mm,D84mm,D90mm,D16phi,D50phi,D84phi,D90phi,reach_ID
1,6RD,Génissiat CNR-6RD,-182.849999999999994,RC,27374.000000000000000,,38.000000000000000,,,,,,,6
2,6RG,Génissiat CNR-6RG,-182.849999999999994,RC,33611.000000000000000,,34.000000000000000,,,,,,,6
3,7RG,Génissiat CNR-7RG,-176.900000000000006,RC,1000.000000000000000,,0.400000000000000,,,,,,,6
4,7RD,Génissiat CNR-7RD,-176.900000000000006,RC,1000.000000000000000,,0.770000000000000,,,,,,,6
5,7CHE,Génissiat CNR-7CHE,-176.900000000000006,RC,1000.000000000000000,,0.470000000000000,,,,,,,6
6,8CHE,Génissiat CNR-8CHE,-176.050000000000011,RC,1000.000000000000000,,0.430000000000000,,,,,,,6
7,8RD,Génissiat CNR-8RD,-176.050000000000011,RC,1000.000000000000000,,0.400000000000000,,,,,,,6
8,5CHE,Génissiat CNR-5CHE,-175.300000000000011,RC,1000.000000000000000,,0.330000000000000,,,,,,,6
9,5RD,Génissiat CNR-5RD,-175.300000000000011,RC,1000.000000000000000,,0.340000000000000,,,,,,,6
10,4CHE,Génissiat CNR-4CHE,-173.550000000000011,RC,2427.000000000000000,,0.600000000000000,,,,,,,6
11,9CHE,Génissiat CNR-9CHE,-172.050000000000011,RC,1000.000000000000000,,0.380000000000000,,,,,,,6
12,9RG,Génissiat CNR-9RG,-172.050000000000011,RC,1000.000000000000000,,0.090000000000000,,,,,,,6
13,2RD,Génissiat CNR-2RD,-165.930000000000007,RC,1000.000000000000000,,0.020000000000000,,,,,,,6
14,2RG,Génissiat CNR-2RG,-165.930000000000007,RC,1000.000000000000000,,0.020000000000000,,,,,,,6
15,1CHE,Génissiat CNR-1CHE,-164.270000000000010,RC,1000.000000000000000,,0.020000000000000,,,,,,,6
16,1RD,Génissiat CNR-1RD,-164.270000000000010,RC,1000.000000000000000,,0.020000000000000,,,,,,,6
17,"9",SEY-9-2013-07-11,-156.000000000000000,RC,74443.500000000000000,46.890000000000001,69.569999999999993,89.129999999999995,99.750000000000000,5.550000000000000,6.120000000000000,6.480000000000000,6.640000000000000,9
18,"10",SEY-10-2013-07-11,-152.500000000000000,RC,10237.670000000000073,0.140000000000000,0.170000000000000,0.190000000000000,0.200000000000000,-2.840000000000000,-2.540000000000000,-2.370000000000000,-2.330000000000000,9
19,"11",SEY-11-2012-08-21,-151.000000000000000,RC,82037.750000000014552,14.020000000000000,24.370000000000001,37.750000000000000,41.719999999999999,3.810000000000000,4.610000000000000,5.240000000000000,5.380000000000000,10
