"yyyy/mm/dd","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67"
2000-01-01,373.016562736386,373.016562736386,373.016562736386,385.151191885038,387.609565577781,402.355379952556,425.423489842824,429.816526470756,434.678592875032,455.251928205409,528.17588264423,578.367537036264,578.367537036264,613.367761914865,613.367761914865,636.764767178902,636.764767178902,636.764767178902,673.373296614206,673.373296614206,673.373296614206,719.141590034027,719.141590034027,724.690782009714,727.045805562512,737.457269887352,737.457269887352,744.627282938148,762.751569364676,1061.52055851178,1061.52055851178,1061.52055851178,1073.94851959915,1080.02069718001,1090.68352561499,1096.36422445826,1096.36422445826,3088.47612279121,3088.47612279121,3121.01492975291,3129.22689631356,3131.37853281187,3134.73133488204,3170.16988737386,3182.99263632082,3554.23251715241,3569.86780092926,3614.28194293764,3617.8385661542,3620.54389904891,3635.15950611724,3637.09843389616,3639.5417059855,3641.2480762038,3641.2480762038,3689.33741465429,3689.33741465429,3689.33741465429,3689.33741465429,3690.36380151822,3701.36049734684,3712.38976920843,3731.91114998431,3756.5486620907,3899.16614754705,3899.88468230513,3915.91379377119
2000-01-02,348.794272363566,348.794272363566,348.794272363566,359.957721316407,362.197337629974,376.118103803312,397.343688364743,401.548673975401,406.244651050177,424.418984721861,490.815411249836,535.787684087018,535.787684087018,567.130893643796,567.130893643796,589.108258276357,589.108258276357,589.108258276357,623.051051107052,623.051051107052,623.051051107052,667.627781136845,667.627781136845,673.282667984891,675.480057172146,686.402325274937,686.402325274937,693.96758691671,712.04114580965,979.819810576608,979.819810576608,979.819810576608,993.008654979688,999.247619966683,1011.15460259839,1017.58101017838,1017.58101017838,2900.58160860702,2900.58160860702,2936.53316182869,2945.85418004029,2948.75648650211,2952.88945520303,2990.45365271306,3005.99978202101,3361.29840105687,3378.91162915041,3423.88634094115,3429.1969542782,3432.85905410775,3448.18740715067,3451.37865116414,3454.96084572415,3457.76356450234,3457.76356450234,3507.63376302318,3507.63376302318,3507.63376302318,3507.63376302318,3509.42640250959,3522.54064440484,3533.46048936708,3555.23460719999,3581.83000142894,3729.36196614527,3730.82771001444,3747.14356061739
2000-01-03,327.31183101377,327.31183101377,327.31183101377,337.565575091731,339.596548791813,352.389906682266,372.064604928217,376.003262589989,380.423052072644,396.611157808483,457.707814521605,498.345912887886,498.345912887886,526.493629064331,526.493629064331,546.908497000002,546.908497000002,546.908497000002,578.450323074203,578.450323074203,578.450323074203,620.48752138258,620.48752138258,625.871961421879,627.910285305536,638.406064653655,638.406064653655,645.793708159138,663.420675352583,903.300343144228,903.300343144228,903.300343144228,916.140590505009,922.246543680793,934.081111222868,940.514818103969,940.514818103969,2693.84118531992,2693.84118531992,2730.79440551025,2740.5339377027,2743.73296071689,2748.18030374757,2786.32819997229,2803.04051519933,3140.3742342611,3158.82113499901,3203.63438273331,3209.73348062669,3213.8186720112,3229.30706923173,3233.07679491874,3237.18714365941,3240.50504132199,3240.50504132199,3291.01355576815,3291.01355576815,3291.01355576815,3291.01355576815,3293.17678886441,3307.23417149776,3318.0182602847,3340.80005722466,3368.16236842095,3518.31990174368,3520.17551663844,3536.57399003591
2000-01-04,308.851562607431,308.851562607431,308.851562607431,318.27968678214,320.12774519313,331.594847385334,350.058367082214,353.763465345272,357.855608069281,372.520318439632,429.635232842632,466.484416128093,466.484416128093,491.681440424164,491.681440424164,510.246749566358,510.246749566358,510.246749566358,539.650751272011,539.650751272011,539.650751272011,578.675270987763,578.675270987763,583.653198813211,585.569309362837,595.267773110592,595.267773110592,602.219729250221,619.213313061152,835.441376686497,835.441376686497,835.441376686497,847.429693223193,853.258797509895,864.374578515168,870.452688935381,870.452688935381,2490.48780632407,2490.48780632407,2526.93285383484,2536.59254716669,2539.81435897989,2544.29685486674,2582.03643325287,2598.9346945713,2919.05618722731,2937.60535405903,2981.81858043162,2988.08100928688,2992.24342787966,3007.53771864807,3011.44206155927,3015.67451350881,3019.11983992087,3019.11983992087,3069.4708368277,3069.4708368277,3069.4708368277,3069.4708368277,3071.73584811522,3085.92698681892,3096.55573330427,3119.47666259236,3146.76157315223,3297.55931825023,3299.54741437181,3315.88179473066
2000-01-05,293.351541844858,293.351541844858,293.351541844858,302.269840986592,303.958957340425,314.129919839639,331.662484293874,335.256632278822,339.064106049537,352.863668714854,407.030524691887,440.825984232117,440.825984232117,463.557853017584,463.557853017584,480.045264297207,480.045264297207,480.045264297207,507.767464450205,507.767464450205,507.767464450205,543.239021193812,543.239021193812,547.654243060958,549.417077168872,558.0780158528,558.0780158528,564.440510317545,580.689764230079,777.193677063001,777.193677063001,777.193677063001,788.118252316086,793.606766649473,803.716230189452,809.274409547896,809.274409547896,2301.6184995191,2301.6184995191,2336.73014258606,2346.02723477355,2349.11828968552,2353.47703264733,2390.22718891798,2406.743571558,2711.56284564838,2729.7902608153,2773.18324020429,2779.25578036739,2783.30052417347,2798.19963254876,2801.98588111585,2806.10728352146,2809.45730926881,2809.45730926881,2859.16634758922,2859.16634758922,2859.16634758922,2859.16634758922,2861.37736646457,2875.23194774281,2885.69500268943,2908.23762854823,2934.95348935115,3084.91763184537,3086.88329850035,3103.05120232869
2000-01-06,279.886731353219,279.886731353219,279.886731353219,288.18890943704,289.735277711167,299.045885337722,316.155187917867,319.471967951028,322.879706993219,335.628636630231,386.906455896059,418.399161234353,418.399161234353,439.283597586261,439.283597586261,454.260938853988,454.260938853988,454.260938853988,480.334349350695,480.334349350695,480.334349350695,513.027632035007,513.027632035007,516.977788637216,518.670150469629,526.293617065941,526.293617065941,532.076289143332,547.575344877633,727.817269177958,727.817269177958,727.817269177958,737.6710995638,742.807773013629,751.867925473999,756.877708710587,756.877708710587,2131.81210147879,2131.81210147879,2165.2035561279,2174.00350416146,2176.88799677646,2181.04090589981,2216.4933498457,2232.32493152915,2524.05107423546,2541.73081867118,2584.21163958002,2589.9135419628,2593.74129139593,2608.14557961626,2611.68394710176,2615.57350847185,2618.71376467077,2618.71376467077,2667.49156100364,2667.49156100364,2667.49156100364,2667.49156100364,2669.56714897337,2682.84437286132,2693.13818529408,2715.03100002213,2740.9213420817,2889.06668637354,2890.925927556,2906.87406995537
2000-01-07,268.269569170656,268.269569170656,268.269569170656,275.936462258676,277.356419564476,285.88873777188,302.155980673328,305.240364297187,308.389770817748,320.184012729031,368.945106545849,398.51817638238,398.51817638238,418.011457926457,418.011457926457,431.811585599468,431.811585599468,431.811585599468,456.548914939396,456.548914939396,456.548914939396,486.70839074911,486.70839074911,490.223342006702,491.75630642512,498.59903219375,498.59903219375,503.914556684551,518.732448223421,685.562204095684,685.562204095684,685.562204095684,694.49049040571,699.315383788122,707.448069394714,711.969755668661,711.969755668661,1981.3993444157,1981.3993444157,2012.97807197422,2021.24415749625,2023.89989996305,2027.81943203809,2061.85797312053,2076.88950523469,2357.51187899748,2374.55958693857,2416.10631137028,2421.37620358264,2424.95281746695,2438.83151354295,2442.0760220327,2445.69006728132,2448.57905923471,2448.57905923471,2496.2549144876,2496.2549144876,2496.2549144876,2496.2549144876,2498.16483887646,2510.77147793328,2520.89804036481,2542.0290612067,2566.99960132104,2712.76455896835,2714.4823640961,2730.18512811253
2000-01-08,258.171963491639,258.171963491639,258.171963491639,265.29045842678,266.599259304668,274.448053385975,289.905505766592,292.760941586683,295.683720767726,306.650292626774,353.195253945716,381.034676223297,381.034676223297,399.292816381684,399.292816381684,412.093150547921,412.093150547921,412.093150547921,435.735003866014,435.735003866014,435.735003866014,463.786791365702,463.786791365702,466.920066417804,468.334589309909,474.477521730396,474.477521730396,479.37336467774,493.561468976125,649.098283909611,649.098283909611,649.098283909611,657.235866704992,661.775729218486,669.180900902679,673.333296633776,673.333296633776,1850.73466628503,1850.73466628503,1880.71598948029,1888.50276543646,1890.91167409165,1894.57264440168,1927.12495558256,1941.26153531207,2212.37220172927,2228.72816353356,2269.31879687816,2274.11356473085,2277.41607820731,2290.75283871089,2293.67415764656,2296.98537056169,2299.59771273227,2299.59771273227,2346.02393422576,2346.02393422576,2346.02393422576,2346.02393422576,2347.74957499921,2359.62948897803,2369.59103053407,2389.89304727622,2413.8942993026,2556.97627941407,2558.53275805848,2573.97460402411
2000-01-09,249.55844142463,249.55844142463,249.55844142463,256.253836713461,257.468182614783,264.705882109966,279.661797535985,282.345745484671,285.040430768811,295.340895104677,340.020837321628,366.314580649748,366.314580649748,383.583113854298,383.583113854298,395.38464619573,395.38464619573,395.38464619573,418.170823020034,418.170823020034,418.170823020034,444.453996287137,444.453996287137,447.199510787763,448.558490733687,454.504364562698,454.504364562698,459.128404311203,473.130872240424,621.369339527923,621.369339527923,621.369339527923,628.780750466869,633.402395361257,640.275659511666,644.1626687029,644.1626687029,1762.58821973058,1762.58821973058,1792.4924143775,1800.42919780217,1802.44871634964,1805.63121914814,1837.68475686867,1850.22422764117,2113.98743189018,2129.24093580694,2169.01326781549,2172.73186840199,2175.4816407318,2188.12952986076,2190.30647283019,2192.9274588269,2194.95043985733,2194.95043985733,2239.83475030899,2239.83475030899,2239.83475030899,2239.83475030899,2241.15251833079,2251.68165645015,2261.65355148644,2280.63086763682,2303.27169720638,2443.02655060708,2444.22896124134,2459.45501370732
2000-01-10,241.983810376282,241.983810376282,241.983810376282,248.259507443621,249.386453407591,256.14859492203,270.545467438343,273.067298786547,275.56910122111,285.257241399146,328.325793469787,353.362627708536,353.362627708536,369.794220833689,369.794220833689,380.758533554094,380.758533554094,380.758533554094,402.779964213954,402.779964213954,402.779964213954,427.414153311488,427.414153311488,429.876334615503,431.107226302606,436.330911948956,436.330911948956,440.5816592933,454.183832209986,595.418592733738,595.418592733738,595.418592733738,602.370004779377,606.645822142584,612.703049484609,616.193031161024,616.193031161024,1671.6888219808,1671.6888219808,1701.00741270335,1708.31658725067,1710.30335902499,1713.50629089308,1744.53659408316,1757.01812811208,2014.64040450269,2029.73366424365,2068.78155304665,2072.42239013481,2075.07749287467,2087.42509229078,2089.54580841947,2092.09592374286,2094.01639108116,2094.01639108116,2137.80185026527,2137.80185026527,2137.80185026527,2137.80185026527,2139.0498090797,2149.25486903825,2159.07542452452,2177.44570539418,2199.40267916086,2336.70006205096,2337.81092883252,2352.82199322884
