"HY","reach_ID","Stat","runoff"
"1999","1","Min",225.838288124915
"1999","1","Mean",466.453243208289
"1999","1","Median",403.158334516975
"1999","1","Max",1016.61722863692
"1999","2","Min",225.838288124915
"1999","2","Mean",466.453243208289
"1999","2","Median",403.158334516975
"1999","2","Max",1016.61722863692
"1999","3","Min",225.838288124915
"1999","3","Mean",466.453243208289
"1999","3","Median",403.158334516975
"1999","3","Max",1016.61722863692
"1999","4","Min",229.819045144493
"1999","4","Mean",471.6657054407
"1999","4","Median",411.514758021478
"1999","4","Max",1022.49117136379
"1999","5","Min",230.439624658983
"1999","5","Mean",472.555820052403
"1999","5","Median",412.936783287623
"1999","5","Max",1023.55815232513
"1999","6","Min",233.536315584141
"1999","6","Mean",475.645614437938
"1999","6","Median",416.834879746435
"1999","6","Max",1021.74550237491
"1999","7","Min",246.092158342326
"1999","7","Mean",494.266679194316
"1999","7","Median",447.018203157774
"1999","7","Max",1045.49411137517
"1999","8","Min",247.553080365316
"1999","8","Mean",496.092559073839
"1999","8","Median",452.685173685401
"1999","8","Max",1045.63596024471
"1999","9","Min",248.588042902884
"1999","9","Mean",497.29420312213
"1999","9","Median",455.452661091484
"1999","9","Max",1043.65230327229
"1999","10","Min",287.599800444525
"1999","10","Mean",558.506047841937
"1999","10","Median",538.943959306583
"1999","10","Max",1159.92657113293
"1999","11","Min",287.599800444525
"1999","11","Mean",558.506047841937
"1999","11","Median",538.943959306583
"1999","11","Max",1159.92657113293
"1999","12","Min",306.551567333762
"1999","12","Mean",583.001107121572
"1999","12","Median",577.044035359123
"1999","12","Max",1189.27409656618
"1999","13","Min",306.551567333762
"1999","13","Mean",583.001107121572
"1999","13","Median",577.044035359123
"1999","13","Max",1189.27409656618
"1999","14","Min",318.425248336547
"1999","14","Mean",598.953074667165
"1999","14","Median",591.734511608829
"1999","14","Max",1204.14204603475
"1999","15","Min",318.425248336547
"1999","15","Mean",598.953074667165
"1999","15","Median",591.734511608829
"1999","15","Max",1204.14204603475
"1999","16","Min",323.725277830061
"1999","16","Mean",605.579072441574
"1999","16","Median",599.131451613457
"1999","16","Max",1209.11303794715
"1999","17","Min",323.725277830061
"1999","17","Mean",605.579072441574
"1999","17","Median",599.131451613457
"1999","17","Max",1209.11303794715
"1999","18","Min",323.725277830061
"1999","18","Mean",605.579072441574
"1999","18","Median",599.131451613457
"1999","18","Max",1209.11303794715
"1999","19","Min",324.105850289701
"1999","19","Mean",606.375466796581
"1999","19","Median",600.15862143556
"1999","19","Max",1209.68770292741
"1999","20","Min",339.616837058939
"1999","20","Mean",631.87261504342
"1999","20","Median",625.31540206539
"1999","20","Max",1256.08871984968
"1999","21","Min",339.616837058939
"1999","21","Mean",631.87261504342
"1999","21","Median",625.31540206539
"1999","21","Max",1256.08871984968
"1999","22","Min",351.312525050107
"1999","22","Mean",647.624533218922
"1999","22","Median",632.418724702298
"1999","22","Max",1263.34147120995
"1999","23","Min",351.312525050107
"1999","23","Mean",647.624533218922
"1999","23","Median",632.418724702298
"1999","23","Max",1263.34147120995
"1999","24","Min",351.77970219218
"1999","24","Mean",648.147041268376
"1999","24","Median",634.27488115025
"1999","24","Max",1260.95866737234
"1999","25","Min",352.526720503572
"1999","25","Mean",649.214730859892
"1999","25","Median",634.293172752367
"1999","25","Max",1261.6503683197
"1999","26","Min",353.30088503869
"1999","26","Mean",650.203522271544
"1999","26","Median",633.385476675268
"1999","26","Max",1260.76219133236
"1999","27","Min",353.30088503869
"1999","27","Mean",650.203522271544
"1999","27","Median",633.385476675268
"1999","27","Max",1260.76219133236
"1999","28","Min",355.038069647719
"1999","28","Mean",652.145025547917
"1999","28","Median",635.297081350737
"1999","28","Max",1262.12179710785
"1999","29","Min",355.538601840761
"1999","29","Mean",652.70605066556
"1999","29","Median",636.542149815248
"1999","29","Max",1262.57197863914
"1999","30","Min",364.841823650089
"1999","30","Mean",664.833569052594
"1999","30","Median",651.996910582788
"1999","30","Max",1274.90235668792
"1999","31","Min",408.964585037624
"1999","31","Mean",805.251737566121
"1999","31","Median",774.121089804332
"1999","31","Max",1459.58032666961
"1999","32","Min",408.964585037624
"1999","32","Mean",805.251737566121
"1999","32","Median",774.121089804332
"1999","32","Max",1459.58032666961
"1999","33","Min",409.968597654465
"1999","33","Mean",807.95945054925
"1999","33","Median",773.89487584497
"1999","33","Max",1461.23249285944
"1999","34","Min",410.430010881358
"1999","34","Mean",810.55309981276
"1999","34","Median",775.471613809493
"1999","34","Max",1463.91359234373
"1999","35","Min",411.455766015985
"1999","35","Mean",812.42597242515
"1999","35","Median",780.472170109809
"1999","35","Max",1465.36781384504
"1999","36","Min",412.177120860469
"1999","36","Mean",813.364018738917
"1999","36","Median",781.217408033659
"1999","36","Max",1466.00568717707
"1999","37","Min",412.177120860469
"1999","37","Mean",813.364018738917
"1999","37","Median",781.217408033659
"1999","37","Max",1466.00568717707
"1999","38","Min",497.047267562606
"1999","38","Mean",1434.16860171722
"1999","38","Median",1429.70756820334
"1999","38","Max",3445.79725222985
"1999","39","Min",497.047267562606
"1999","39","Mean",1434.16860171722
"1999","39","Median",1429.70756820334
"1999","39","Max",3445.79725222985
"1999","40","Min",501.387256141309
"1999","40","Mean",1451.25355580795
"1999","40","Median",1452.17902784001
"1999","40","Max",3472.79152784812
"1999","41","Min",502.701909488847
"1999","41","Mean",1455.29475237285
"1999","41","Median",1456.84486802211
"1999","41","Max",3476.50225934069
"1999","42","Min",502.919342418976
"1999","42","Mean",1455.93763164039
"1999","42","Median",1456.73751435237
"1999","42","Max",3475.47615833256
"1999","43","Min",503.641014432859
"1999","43","Mean",1457.50561579915
"1999","43","Median",1459.24001346757
"1999","43","Max",3475.46612301841
"1999","44","Min",509.35815231424
"1999","44","Mean",1482.52458367297
"1999","44","Median",1486.65681441805
"1999","44","Max",3513.07284794652
"1999","45","Min",511.021508911586
"1999","45","Mean",1489.1998869484
"1999","45","Median",1502.84368957754
"1999","45","Max",3511.7762888811
"1999","46","Min",615.676733398638
"1999","46","Mean",1798.11161278161
"1999","46","Median",1762.32597110274
"1999","46","Max",3767.79742061195
"1999","47","Min",622.804214345905
"1999","47","Mean",1836.07806620831
"1999","47","Median",1809.38363502203
"1999","47","Max",3809.63622844367
"1999","48","Min",623.598191184169
"1999","48","Mean",1837.66674010004
"1999","48","Median",1809.73771420593
"1999","48","Max",3810.58427909125
"1999","49","Min",623.981259165817
"1999","49","Mean",1838.41703102694
"1999","49","Median",1810.24400163453
"1999","49","Max",3810.99926886329
"1999","50","Min",624.301465933025
"1999","50","Mean",1839.99529946579
"1999","50","Median",1812.56784868353
"1999","50","Max",3812.35284962044
"1999","51","Min",624.829605887408
"1999","51","Mean",1845.99290113881
"1999","51","Median",1823.45795051614
"1999","51","Max",3819.63716618992
"1999","52","Min",625.177332270571
"1999","52","Mean",1846.25027075886
"1999","52","Median",1824.53265619933
"1999","52","Max",3819.21849306157
"1999","53","Min",625.580644496864
"1999","53","Mean",1846.94065121019
