J2000,reach_id
609200,1
609200,2
609200,3
608400,4
608200,5
607800,6
606600,7
606201,8
606200,9
605800,10
605800,11
605000,12
605000,13
603601,14
603601,15
603400,16
603400,17
603400,18
603200,19
603000,20
603000,21
598801,22
598801,23
598800,24
598401,25
598400,26
598400,27
598000,28
597800,29
594600,30
575400,31
575400,32
574600,33
573800,34
573600,35
573402,36
573402,37
414400,38
414400,39
410600,40
409000,41
408600,42
408000,43
403200,44
399000,45
397800,46
390600,47
389600,48
389200,49
388600,50
388201,51
388200,52
387801,53
387800,54
387800,55
387600,56
387600,57
374000,58
374000,59
373800,60
373400,61
373200,62
368200,63
367200,64
367000,65
353801,66
353801,67
